,Job_title,company,location,skills_required
323,Client Relationship Manager - Kogland,Fingent - Full-time,Kochi,"Sales,Team Management,client relationships ,Hospital Sales,Surgical Products,Medical Consumables"
324,Multiple Openings,Cetacean Business Solutions LLP - Full-time,Kochi,"Python,Android,Content writing,UI/UX,Full Stack,Network Security,graphic designing,Product Designing,Embedded Systems,BigData"
325,.Net Developer,Smilax Software Solutions - Full-time,Kochi,"Bootstrap,.Net,.ASP.Net,.Net Core,Entity Framework,Oracle,JQuery"
326,Virtual Software Development Internship Program,Cetacean Business Solutions LLP - Full-time,Kochi,Minimum Qualification Bachelors in any IT/ CS Streams
327,Android Developers,Cetacean Business Solutions LLP - Full-time,Bangalore,"Android,Native Android SDK development in Java or Kotlin"
328,iOS Developer,Cetacean Business Solutions LLP - Full-time,Trivandrum,"iOS SDK,iOS-Android Deployment, Objective-C or Swift, Cocoa Touch"
329,Mean Stack Developer,Cetacean Business Solutions LLP - Full-time,Trivandrum,"Angular,React,Node JS,JavaScript,Mean stack"
330,Senior SEO Specialist,Emvigo Technologies - Full-time,Kochi,"Client Handling,Google Analytics,verbal and written communication,SEO fundamentals"
331,React Native Developer,Emvigo Technologies - Full-time,Kochi,"React Native, Redux,Firebase"
332,Fullstack Developer,Emvigo Technologies - Full-time,Kochi,"Perfomance Tuning,react.js,node.js"
333,React Native – IOS/ Android Developer,Auberon Technology Pvt Ltd - Full-time,Kochi,"React Native,CSS,HTML5 ,React Rendering,JavaScript (ES5 and ES6/7 and ES8),life cycles ,IOS/Android App,IOS and Android for Mobile Cloud architecture"
334,WebGL Developer,Fingent - Full-time,Kochi,"3D WEBGL,Three.js, Babylon.js, three.ar.js, Playcanvas, Scene.js,8th Wall, AR.js, XR.+,3D configurators, Real estate walkthroughs, 3D visualization through WEBGL"
335,Frontend Developer,Goodbits Tech Pvt Ltd - Full-time,Kochi,"React,Javascript,HTML,CSS"
336,Senior Fullstack Developer / Fullstack Lead / Solution Architect,Goodbits Tech Pvt Ltd - Full-time,Kochi,"React,Node,Javascript"
337,Content Writer,Thomsun Infocare LLP - Full-time,Kochi,"Content writing,Creative writing"
338,Automation Test Engineer,Thomsun Infocare LLP - Full-time,Kochi,"Automation Testing,Selenium ,Protractor,BDD"
339,Technical Lead,Thomsun Infocare LLP - Full-time,Kochi,".Net Core,asp.net mvc"
340,Technical Architect,Thomsun Infocare LLP - Full-time,Kochi,".NET MVC,.Net Core"
341,DotNet Developer,Thomsun Infocare LLP - Full-time,Kochi,".NET MVC,.ASP.Net,.Net Core"
342,Angular Developer,Thomsun Infocare LLP - Full-time,Kochi,Angular
343,Software Engineer – Angular,Fingent - Full-time,Kochi,"Angular,Node JS,Javascript, Typescript,Angular, Front-end development, HTML, CSS, Unit Testing with Karma/Jasmine/Jest,HTML CSS JavaScript, Angular"
344,Senior Software Engineer-React JS,Fingent - Full-time,Kochi,"GIT,ES6,ReactJS,ReactJS developer,Javascript, Typescript,Enzyme"
345,Software Engineer – React JS,Fingent - Full-time,Kochi,"GIT,ES6,ReactJS developer,React Js,Javascript, Typescript"
346,Software Engineer – React Native,Fingent - Full-time,Kochi,"React Native, Redux,Node.js,jQuery,ReactJS,React Js, React Native, HTML, Javascript"
347,Senior Project Leads and Project Leads,Fingent - Full-time,Kochi,"Project Coordinators,SDLC,Software Project Management,project mangement,stakeholder management"
348,Sr. Project Managers and Project Managers – Technology Services,Fingent - Full-time,Kochi,"PMP,Project Coordinators,Software Project Management,stakeholder management ,technical project manager"
349,Senior Test Specialist,Fingent - Full-time,Kochi,"Test case preparation ,manual testing,Automation Testing,Test scenario preparation, web, mobile, and APIs,test reports"
350,Test Specialist,Fingent - Full-time,Kochi,"Selenium,functional testing,manual testing,Automation Testing,testing web, mobile, and APIs"
351,Software Engineer .NET,Fingent - Full-time,Kochi,"MS Azure, SQL Azure,C#.NET, ASP.NET MVC,OOPS concepts, JQuery, Web API, Entity Framework, LINQ"
352,Full Stack Developer (5+ years),Oracle India Pvt. Ltd. - Full-time,Trivandrum,"JavaScript, web stacks, libraries, frameworks MVC"
